country,AU,CL,PT,TR,US,AT,BE,CH,DE,ES,FR,GB,IE,IT,JP,SE
AU,0.0,54.863,105.806,37.364,109305.633,279.739,5088.084,4758.55,14096.844,1541.663,12346.508,87720.7,3558.122,2340.857,46784.862,1358.477
CL,3.779,0.0,1.374,0.0,9687.73,5.983,0.456,124.328,101.17,654.565,669.705,4449.962,12.839,4.283,23.734,0.01
PT,83.009,76.274,0.0,184.309,3379.995,579.702,1988.645,1767.92,4471.458,18285.375,11134.048,2268.749,2768.506,5618.677,114.319,277.062
TR,5.276,0.013,49.974,0.0,4625.529,256.62,59.625,373.335,2888.068,20.014,438.038,4089.162,1.495,54.134,84.78,2.071
US,118970.0,14132.0,3602.0,11827.0,0.0,8279.0,31944.0,60914.0,400049.0,33390.0,215906.0,423871.0,111536.0,51181.0,446466.0,19181.0
AT,918.968,81.286,274.604,379.387,15293.243,0.0,2254.718,10571.881,51129.533,6058.06,15208.552,7835.76,4480.763,5570.182,186.453,1896.578
BE,1033.0,174.0,494.0,321.0,10054.0,2733.0,0.0,1418.0,10870.0,6158.0,21148.0,37008.0,12916.0,2633.0,697.0,935.0
CH,15571.95,2095.654,1933.18,3720.576,505192.175,8762.301,5748.246,0.0,65201.82,8498.818,72686.926,155507.324,12886.165,16656.051,18167.497,8330.977
DE,26667.0,2566.0,6731.0,13499.0,404414.0,55517.0,24873.0,59417.0,0.0,71011.0,168764.0,152420.0,36725.0,77970.0,28593.0,32241.0
ES,3045.571,66923.93,124186.249,59048.242,272639.845,6416.535,10816.821,12437.28,89596.086,0.0,93211.409,466408.862,22090.306,112216.045,7225.696,7537.487
FR,29277.0,5317.0,22340.0,22811.0,531095.0,7914.0,257052.0,80072.0,193981.0,112231.0,0.0,229842.0,47659.0,349405.0,193971.0,32338.0
GB,75038.0,3807.0,1387.0,11172.0,1127731.0,5272.0,6974.0,32632.0,203262.0,19397.0,402127.0,0.0,50089.0,13622.0,201821.0,10862.0
IE,777.71,2.514,628.535,1.52,8141.374,141.457,678.14,352.63,1529.885,2951.379,8750.897,51236.13,0.0,554.614,84.091,975.079
IT,3616.091,633.616,6602.951,4959.903,59598.032,84977.61,9370.496,15881.423,200636.326,68469.134,106918.032,30859.159,22086.488,0.0,15123.285,3205.571
JP,142300.8,8029.1,1113.0,6690.8,1825317.0,6914.1,45325.0,29645.8,113571.3,36988.9,178012.6,217267.2,74554.4,45714.5,0.0,13839.1
SE,164.051,372.063,204.802,715.602,40774.882,751.024,432.958,1096.628,14504.523,541.032,3486.62,43923.287,5890.068,223.728,536.171,0.0
