Name,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government,Total Commodity Output,Imports,CIF/FOB Adjustments on Imports,Total Industry Output
"Agriculture, forestry, fishing, and hunting",540875,---,---,---,---,788,265,1662,---,---,---,---,---,---,4145,547735,73929,---,621663
Mining,---,548178,127,---,907,---,---,---,---,---,112,---,---,---,671,549994,151161,---,701155
Utilities,---,---,602825,---,---,---,---,187,---,---,---,---,---,---,171313,774324,2861,---,777185
Construction,244,20094,2773,1961243,3323,3376,6488,2252,2029,19133,1336,1432,1803,350,23194,2049071,---,---,2049071
Manufacturing,10,42480,---,---,5967481,6460,19136,---,1389,---,4191,---,---,---,7632,6048777,2323239,---,8372016
Wholesale trade,---,1404,---,---,65194,2014765,---,151,24037,418,4021,---,---,807,---,2110798,---,---,2110798
Retail trade,---,---,20,---,---,---,1857877,16,2560,1518,7435,14678,9699,6609,9805,1910218,---,---,1910218
Transportation and warehousing,---,---,3714,---,---,2659,6717,1420563,---,983,19,---,---,---,25526,1460181,16013,-27846,1448348
Information,---,---,---,---,---,---,1797,---,1672869,---,24224,---,229,396,3295,1702810,17267,---,1720078
"Finance, insurance, real estate, rental, and leasing",---,---,---,---,16,15092,13729,1144,11000,7756580,2323,6440,5984,2089,117528,7931925,59605,-1101,7990428
Professional and business services,---,2224,621,726,249281,21546,16163,12472,477256,22365,4864059,54525,12143,2465,151989,5887836,166109,---,6053945
"Educational services, health care, and social assistance",---,---,---,---,---,---,2872,71,13204,3,2632,3057592,2231,437,382548,3461589,10839,---,3472428
"Arts, entertainment, recreation, accommodation, and food services",2071,---,---,---,---,---,56813,193,1154,25,---,32130,1491630,3928,67331,1655274,1481,---,1656755
"Other services, except government",---,---,---,---,125,74344,116140,1831,2767,2340,5372,16,2870,722631,4342,932775,3742,---,936517
Government,---,---,2137,---,---,---,---,---,---,---,---,---,---,---,3536926,3539063,273,---,3539336
"Scrap, used and secondhand goods",---,---,---,---,3598,---,---,---,---,---,847,---,224,---,4280,8949,25622,---,34571
Noncomparable imports and rest-of-the-world adjustment,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4226,4226,217988,-54,222160
Total industry supply,543200,614380,612217,1961969,6289923,2139029,2097998,1440542,2208265,7803365,4916571,3166812,1526812,739712,4514751,40575547,3070129,-29001,43616675
