,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Commodity Output,Imports,CIF/FOB Adjustments on Imports,Total product supply (basic prices),Trade margins,Transport margins,Total trade and transportation margins,Import duties,Tax on products,Subsidies on products,Total tax less subsidies on products,Total product supply (purchaser prices)
0,Farms,477653,35,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,265,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,584,---,478536,50812,---,529348,104646,78538,183184,138,6314,-17796,-11344,701188
1,"Forestry, fishing, and related activities",4698,58489,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,788,---,---,---,---,1662,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,155,---,3406,---,69198,23117,---,92315,14672,5907,20580,222,1102,---,1324,114218
2,Oil and gas extraction,---,---,375019,0,41,127,---,---,5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,112,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,375304,146480,---,521784,14828,68090,82918,132,13705,---,13837,618539
3,"Mining, except oil and gas",---,---,75,81352,73,---,---,---,729,---,---,---,---,---,---,---,---,---,---,---,---,---,---,167,4,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,671,---,83072,3071,---,86143,10309,28104,38413,11,3697,---,3708,128263
4,Support activities for mining,---,---,28979,8573,54066,---,---,---,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,91619,1610,---,93229,---,---,---,---,0,---,0,93229
5,Utilities,---,---,---,---,---,602825,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,187,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,79,14791,1249,155194,774324,2861,---,777185,---,---,---,---,32194,---,32194,809379
6,Construction,---,244,498,12561,7036,2773,1961243,164,223,57,727,368,13,19,131,200,95,1117,41,10,2,22,4,65,37,30,3376,2,3,354,6129,0,1604,10,323,2,111,185,17,14,48,1170,798,2,1,3,0,17955,1124,47,25,5,368,51,877,10,283,559,460,28,102,159,132,973,539,350,4,391,---,22799,---,2049071,---,---,2049071,---,---,---,---,2583,---,2583,2051653
7,Wood products,10,---,---,---,---,---,---,146406,9,---,1158,---,1106,---,---,---,189,26,---,---,---,122,---,---,0,109,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,220,---,149353,35592,---,184945,52711,12650,65360,828,5403,---,6231,256536
8,Nonmetallic mineral products,---,---,---,468,---,---,---,0,141811,27,233,297,3,11,1,---,7,0,---,---,---,18,---,50,1,192,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,143121,30511,---,173632,56022,33042,89064,1907,6456,---,8363,271059
9,Primary metals,---,---,---,---,---,---,---,---,---,256535,3784,74,19,579,35,2,1,44,---,0,---,0,---,---,26,28,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,---,---,---,261129,104542,---,365670,48175,15365,63540,3324,2148,---,5472,434683
10,Fabricated metal products,---,---,12,---,1022,---,---,643,55,1181,371768,2895,35,102,1441,366,41,195,---,0,---,10,101,---,17,276,13,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,380173,82340,---,462513,134704,15280,149983,6286,13345,---,19631,632127
11,Machinery,---,---,230,---,---,---,---,---,57,48,2907,383877,700,1061,1473,1573,2,26,---,0,---,---,---,0,32,225,661,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,---,---,---,392875,197996,---,590870,208876,19859,228735,7838,14312,---,22150,841756
12,Computer and electronic products,---,---,---,---,---,---,---,---,0,1,344,339,322112,299,15,4472,---,602,---,---,---,107,33,---,863,42,180,---,---,---,---,---,---,---,---,---,---,---,---,---,43,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,329451,388123,---,717575,272158,13451,285609,7959,17244,---,25203,1028386
13,"Electrical equipment, appliances, and components",---,---,---,---,---,---,---,---,47,585,155,2801,790,135149,329,120,0,30,---,---,---,---,---,49,90,343,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,140488,136929,---,277417,129326,11162,140488,9617,10844,-336,20126,438031
14,"Motor vehicles, bodies and trailers, and parts",---,---,---,---,---,---,---,---,0,---,1028,1462,9,426,709985,2329,0,10,---,6,---,---,---,---,1,1074,325,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,716656,307448,---,1024103,233014,18128,251142,7563,35914,---,43478,1318722
15,Other transportation equipment,---,---,---,---,---,---,---,---,0,---,637,254,2303,12,1323,261213,---,3,---,0,---,---,---,---,0,12,15,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,265772,39768,---,305540,32485,4859,37343,1108,3025,---,4132,347016
16,Furniture and related products,---,---,---,---,---,---,---,897,235,2,148,9,50,353,1,---,77447,412,---,215,---,0,---,---,---,1883,42,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,81693,58621,---,140313,96896,20687,117583,4288,11132,---,15420,273316
17,Miscellaneous manufacturing,---,---,---,---,---,---,---,0,1,---,94,571,2019,53,14,---,33,156479,---,92,---,15,446,---,1300,1961,1366,---,---,---,3562,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,93,---,1224,---,169324,138800,---,308124,279241,21338,300579,3043,21953,---,24996,633700
18,Food and beverage and tobacco products,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,1014573,---,---,---,---,---,8796,---,3859,---,11217,3243,97,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2258,---,1044042,124758,---,1168800,561102,31471,592574,2258,96740,---,98998,1860372
19,Textile mills and textile product mills,---,---,---,---,---,---,---,0,23,8,3,0,1,0,27,5,49,65,1,45108,160,294,781,0,22,1217,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,47763,41186,---,88949,89374,5475,94849,3405,8506,-20,11892,195690
