,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T001,F010,F02E,F02N,F02R,F02S,F030,F040,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,T019
Farms,97183,394,---,78,34,---,4938,---,---,---,---,---,---,---,---,---,---,130,304745,2223,---,---,---,---,9480,---,1905,260,1959,518,357,---,---,---,---,---,---,147,---,---,---,---,---,0,---,---,---,4,3,---,1,0,1485,62,1226,---,169,---,---,---,---,---,667,47,4429,24,6,564,---,2952,---,435988,193671,---,---,---,---,-6251,77779,---,---,---,---,---,---,---,---,---,---,---,---,701188
"Forestry, fishing, and related activities",24557,9818,---,93,---,---,---,20870,2,---,---,---,---,---,---,---,103,355,9537,---,151,9751,78,35,837,2847,---,---,1329,---,7,---,---,---,---,---,---,18,---,---,---,---,---,---,---,---,---,---,---,---,---,---,360,20,7,---,110,---,---,---,---,---,332,568,7469,282,---,120,23,5270,---,94948,12770,---,---,---,---,-645,7145,---,---,---,---,---,---,---,---,---,---,---,---,114218
Oil and gas extraction,---,---,61479,8,1,43731,---,1,0,18,0,0,---,---,0,---,---,---,1,---,---,1,0,374441,4048,2,32,7,5,2,20,---,---,---,---,---,12,---,2,1,0,1,---,---,---,---,---,---,---,---,---,1,10,42,3,4,3,3,13,2,2,1,11,35,97,6,---,---,814,---,25829,510689,---,---,---,---,---,1101,106749,---,---,---,---,---,---,---,---,---,---,---,---,618539
"Mining, except oil and gas",2294,1,92,9323,49,10417,33376,2,10806,15243,852,197,2,155,79,94,17,198,732,31,---,575,---,2086,5245,44,30,---,---,---,7,---,216,0,10,0,---,5,1,50,37,296,1348,---,---,---,---,622,---,---,---,---,1742,53,875,117,498,---,43,45,24,293,527,73,425,926,---,1009,---,2784,5534,109499,61,49,---,---,---,-652,19305,---,---,---,---,---,---,---,---,---,---,---,---,128263
Support activities for mining,---,---,8890,1676,850,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,67,4,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,11487,---,1917,---,---,78012,-10,1822,---,---,---,---,---,---,---,---,---,---,---,---,93229
Utilities,4982,111,7858,2811,82,42391,7645,1022,3271,4579,3526,1720,417,585,2605,556,447,834,7930,953,127,4110,1151,7625,12033,4250,22971,4189,11945,7260,27697,63,125,93,2733,83,1134,1179,15200,531,335,3435,3064,1647,993,783,1852,20,141751,2265,536,252,4845,12920,3403,538,6127,2288,9466,1582,1176,604,1356,5755,31075,4022,1719,1289,880,31274,3017,499094,306712,---,---,---,---,---,3573,---,---,---,---,---,---,---,---,---,---,---,---,809379
Construction,1657,29,1315,1292,629,8097,275,97,301,335,421,284,41,76,383,81,56,118,874,64,17,481,154,7284,1020,369,2351,551,580,587,3681,252,2647,24,358,265,515,2297,835,42,20,2402,282,3322,1702,642,260,77838,100100,347,97,21,782,612,500,31,249,187,647,140,197,229,244,575,1944,3689,7659,3205,650,33882,61375,344569,---,---,---,839808,499971,---,115,---,---,---,11093,---,---,---,13791,---,---,---,342308,2051653
Wood products,600,59,---,588,314,---,88703,38210,496,680,490,875,708,951,4640,394,11204,2248,648,79,19,9502,6,---,521,2313,7891,163,1378,214,2844,---,4776,---,176,---,3,149,488,85,167,1506,2631,104,10,16,---,1487,10899,546,36,27,1211,8,871,34,47,491,446,7,1003,12,185,1315,2091,780,6,23,1,6626,229,215231,16416,---,---,17722,85,385,6665,---,---,---,---,---,32,---,---,---,---,---,---,256536
Nonmetallic mineral products,7,28,2731,563,834,109,126446,957,21816,2558,1660,2172,209,2070,12415,522,449,1080,7050,257,---,443,3,1947,2333,2336,213,480,139,112,2178,---,29,---,59,---,0,73,408,5,7,3247,1622,46,97,23,---,2059,139,505,5,86,6023,77,1526,340,95,3068,3091,225,421,16,92,180,4510,2072,39,607,---,2865,2885,230659,28840,---,---,---,---,622,10937,---,---,---,---,---,---,---,---,---,---,---,---,271059
Primary metals,153,---,10284,766,393,7,10354,609,1819,91843,96891,42978,3202,21538,64315,10282,5745,9770,6982,258,---,1192,47,86,83,1880,2197,9,---,0,2118,---,1187,---,---,---,---,662,---,27,18,311,1050,---,---,1,---,15,4126,176,---,1,2585,83,646,583,152,68,37,16,352,16,217,14,289,412,146,678,---,206,713,400592,4222,---,---,---,---,-5691,35560,---,---,---,---,---,---,---,---,---,---,---,---,434683
